Date,rate1month,rate3month,rate6month,rate1year,rate2year,rate3year
2009-12-01,0.09,0.06,0.15,0.26,0.67,1.14
2009-12-02,0.08,0.05,0.15,0.28,0.72,1.19
2009-12-03,0.09,0.06,0.16,0.3,0.74,1.23
2009-12-04,0.08,0.06,0.17,0.36,0.84,1.34
2009-12-07,0.07,0.04,0.16,0.32,0.78,1.26
2009-12-08,0.02,0.03,0.15,0.29,0.73,1.21
2009-12-09,0.01,0.03,0.14,0.31,0.76,1.23
2009-12-10,0.01,0.02,0.15,0.32,0.78,1.26
2009-12-11,0.01,0.03,0.16,0.35,0.83,1.3
2009-12-14,0.02,0.04,0.16,0.37,0.87,1.35
2009-12-15,0.02,0.05,0.17,0.41,0.88,1.38
2009-12-16,0.02,0.04,0.17,0.38,0.85,1.36
2009-12-17,0.01,0.04,0.15,0.35,0.77,1.27
2009-12-18,0.01,0.05,0.16,0.36,0.82,1.32
2009-12-21,0.01,0.08,0.17,0.4,0.89,1.42
2009-12-22,0.01,0.08,0.18,0.41,0.95,1.48
2009-12-23,0.01,0.07,0.17,0.41,0.96,1.51
2009-12-24,0.02,0.05,0.18,0.43,1.0,1.56
2009-12-25,0.02,0.05,0.18,0.43,1.0,1.56
2009-12-28,0.03,0.11,0.2,0.47,1.09,1.63
2009-12-29,0.02,0.1,0.2,0.47,1.09,1.64
2009-12-30,0.02,0.05,0.19,0.45,1.08,1.65
2009-12-31,0.04,0.06,0.2,0.47,1.14,1.7
2010-01-01,0.04,0.06,0.2,0.47,1.14,1.7
2010-01-04,0.05,0.08,0.18,0.45,1.09,1.66
2010-01-05,0.03,0.07,0.17,0.41,1.01,1.57
2010-01-06,0.03,0.06,0.15,0.4,1.01,1.6
2010-01-07,0.02,0.05,0.16,0.4,1.03,1.62
2010-01-08,0.02,0.05,0.15,0.37,0.96,1.56
2010-01-11,0.01,0.04,0.13,0.35,0.95,1.55
2010-01-12,0.02,0.05,0.14,0.34,0.92,1.5
2010-01-13,0.02,0.06,0.15,0.37,0.97,1.54
2010-01-14,0.02,0.05,0.14,0.34,0.94,1.49
2010-01-15,0.03,0.06,0.15,0.33,0.89,1.44
2010-01-18,0.03,0.06,0.15,0.33,0.89,1.44
2010-01-19,0.03,0.06,0.14,0.33,0.93,1.48
2010-01-20,0.03,0.05,0.14,0.31,0.92,1.46
2010-01-21,0.02,0.06,0.14,0.31,0.87,1.41
