series,order,MSE_ratio,R2_OOS,LB_p,ARCH_p,JB_p,LB_adequate
alpha,"ARMA(1,0)",0.9978,0.0022,0.022,0.0,0.0,False
beta,"ARMA(1,1)",0.9995,0.0005,0.064,0.0,0.0,True
rho,"ARMA(1,1)",1.1302,-0.1302,0.0265,0.0,0.0,False
eta,"ARMA(2,1)",1.0322,-0.0322,0.1082,0.0,0.0,True
gamma,"ARMA(1,1)",0.8381,0.1619,0.0553,0.0,0.0,True
d_alpha,"ARMA(1,1)",0.4272,0.5728,0.2659,0.0,0.0,True
d_beta,"ARMA(1,1)",0.4445,0.5555,0.0067,0.0,0.0,False
d_rho,"ARMA(1,1)",0.5254,0.4746,0.1864,0.0,0.0,True
d_eta,"ARMA(1,1)",0.4471,0.5529,0.1178,0.0,0.0,True
d_gamma,"ARMA(0,1)",0.3166,0.6834,0.0228,0.0,0.0,False
