h,Model,MSE,MAE,MAPE,R2_OOS,DM_vs_HAR,p_DM,Sig
1,Naive,10.70933729677575,2.449799598267895,86.50077179035064,0.0,,,
1,HAR,5.683398079183389,1.8252884550765442,81.3564073767938,0.4693044096300446,,,
1,HAR+VIX,5.439792767825556,1.756953794842789,67.75731738685181,0.4920514111117493,1.3998975480068825,0.1615440004223928,
1,F3_ATM,5.442982499246876,1.7683026943296767,74.42072849633952,0.49175356528497904,3.201880792069798,0.001365334865623625,**
1,HAR_rhoJ,5.680468787022482,1.8235632003016722,81.18111361326473,0.4695779365607715,0.5076667643498617,0.6116870602569545,
1,M1,5.61386663937041,1.8252505624326245,81.71798674765901,0.47579700930135327,1.3480917958529475,0.17762885983356835,
1,M4_smooth,5.4424144371346745,1.8322301501266682,81.76704326642222,0.49180660891377315,2.018487683615761,0.043540495599867404,*
1,M4+int,5.307327558042406,1.762519558505935,73.25289932956073,0.5044205434037194,2.954167210227257,0.0031351408602033727,**
5,Naive,6.894757968887259,1.870390431792026,63.47427022019274,0.0,,,
5,HAR,1.0482638106697229,0.7727692318452368,40.633616286039285,0.8479622032564398,,,
5,HAR+VIX,1.1482540067245086,0.8178425999262825,41.145517016802714,0.8334598528467527,-0.6206708747195324,0.5348161964208408,
5,F3_ATM,0.9964120064087638,0.7747438572004954,37.010512494830536,0.8554826709066374,0.7622105300870712,0.4459343623598452,
5,HAR_rhoJ,1.0456022724019616,0.771046509903884,40.744020793890776,0.8483482267078462,0.4443070018121411,0.6568206396830625,
5,M1,1.0650093157621068,0.7828732932384808,42.01412342320454,0.8455334733187179,-0.3140373661982894,0.7534926591451799,
5,M4_smooth,0.9113182555582994,0.7247981614717294,39.291208202335866,0.8678244748154116,1.9795110244100917,0.04775849965711355,*
5,M4+int,0.873990631467131,0.7099851409853408,38.181269471162985,0.8732383884378492,2.375551057857492,0.0175227679442303,*
20,Naive,7.919712840754779,1.9695411526196105,111.36158206409321,0.0,,,
20,HAR,1.0886856813057109,0.7894352050720934,101.30744930348814,0.8625347025584889,,,
20,HAR+VIX,1.0472121441555586,0.7747547835817924,82.95464440285197,0.8677714501507412,0.3877577693968893,0.6981953001538881,
20,F3_ATM,1.0465807799852174,0.755720984179559,97.7580607815605,0.8678511707394843,0.5519338867727961,0.5809936504027702,
20,HAR_rhoJ,1.0896931727785502,0.7900343511739969,101.15487721098873,0.8624074894267634,-0.7526346730066914,0.45166947598661233,
20,M1,1.1460349136871402,0.7843595438431288,107.06635162200399,0.8552933753115828,-0.6136257923280373,0.5394626356751322,
20,M4_smooth,1.105491471670202,0.7478410181243653,105.23888727836537,0.8604126823915443,-0.1510552086816385,0.8799321652669756,
20,M4+int,1.220518907669568,0.7824091703753716,112.71927408574929,0.8458884896193726,-0.9223635567328455,0.3563389722889114,
