n,MAE_log,RMSE_log,QLIKE,model,target,DM_stat_vs_HAR,DM_pval_vs_HAR
394,0.4915234696990913,0.6598417715771676,0.32322371896928026,Pers,global,,
394,0.43685759330563534,0.5830474921942999,0.236172377975751,HAR,global,,
394,0.43684730361705293,0.5827987983544405,0.23545474631302693,HAR-J,global,0.05180226912959136,0.9586862474770317
394,0.5036153573355233,0.9630168442301351,24.1669969499712,HAR-CJ,global,,
394,0.5000892407394696,0.6783705006911588,0.3667179596141952,Pers,1M,,
394,0.4457183478930651,0.6026658334174315,0.26360509922395137,HAR,1M,,
394,0.43842181034440963,0.5936187407430288,0.2526421875295195,HAR-J,1M,1.2691046916067097,0.2044037272099648
394,0.5181755202662855,1.0330022159924603,28.11680525394382,HAR-CJ,1M,,
394,0.503050993605156,0.6729661310883076,0.33457764628830083,Pers,3M,,
394,0.4490669195701845,0.5968282160915411,0.24719650799257162,HAR,3M,,
394,0.44934448373626523,0.5971877953723461,0.24709819989785367,HAR-J,3M,-0.08272912619204525,0.9340669248975559
394,0.5198878872026319,0.9788265683936017,26.226424404703362,HAR-CJ,3M,,
394,0.49823451663181867,0.661987423957378,0.3069366900786996,Pers,6M,,
394,0.4483585333079197,0.5915105073297968,0.2341239041893194,HAR,6M,,
394,0.44489662363889954,0.588835081608071,0.22973269941150987,HAR-J,6M,0.33692892205697517,0.7361704821028907
394,0.519940839411331,0.9652698516607146,21.971384475089405,HAR-CJ,6M,,
394,0.49251625696785456,0.6496395515707051,0.27631141943584797,Pers,1Y,,
394,0.44374103882323507,0.585019784152106,0.2172763503914526,HAR,1Y,,
394,0.44932527657338606,0.5905721575349017,0.21683338220934345,HAR-J,1Y,-0.49299196365765685,0.6220182656879101
394,0.5084701616812707,0.919893143833056,12.715501197390125,HAR-CJ,1Y,,
394,0.470973728989598,0.6226094233292597,0.23660249434313482,Pers,2Y,,
394,0.4231085584749122,0.5616645502904924,0.1893040634974318,HAR,2Y,,
394,0.42906654018799667,0.5715291476411805,0.19511874936997237,HAR-J,2Y,-1.137321429738613,0.2554039394184313
394,0.4818453279236188,0.848120792657891,5.898435909327256,HAR-CJ,2Y,,
