,Pers|global,HAR|global,HAR-J|global,HAR-CJ|global,Pers|1M,HAR|1M,HAR-J|1M,HAR-CJ|1M,Pers|3M,HAR|3M,HAR-J|3M,HAR-CJ|3M,Pers|6M,HAR|6M,HAR-J|6M,HAR-CJ|6M,Pers|1Y,HAR|1Y,HAR-J|1Y,HAR-CJ|1Y,Pers|2Y,HAR|2Y,HAR-J|2Y,HAR-CJ|2Y,HAR-J|global|WF
2019-06-05,-5.322340920888599,-5.366667634455943,-5.354591882862115,-5.334077617316465,-4.993106234998927,-5.059777700169594,-5.06531045826009,-5.014276133620445,-5.222596675193212,-5.249211219198111,-5.236501924749494,-5.221849365741731,-5.377872427886186,-5.392460687811053,-5.377396839381207,-5.377391432842127,-5.605250357076277,-5.611948013695081,-5.589353478945852,-5.605440874207009,-5.955814120397361,-5.954958798960039,-5.934241070032585,-5.952490166470708,-5.358952495627516
2019-06-06,-5.330529396055861,-5.417795420309958,-5.406001801741401,-5.380649664575068,-5.002094983012494,-5.130645488744956,-5.135720106639606,-5.087519688708341,-5.2301063059995805,-5.298353481077631,-5.285887601772708,-5.266042834399101,-5.385333797015143,-5.430523672632946,-5.415635881814949,-5.4093849164235985,-5.613245883949391,-5.633542190815897,-5.611260659068063,-5.621778248299228,-5.964097046657632,-5.962934634966197,-5.942859434745033,-5.956855894534439,-5.409151357797084
2019-06-07,-5.374133186739396,-5.401178108171937,-5.39141047767398,-5.427080438175924,-5.036232578295174,-5.029067131289806,-5.032783885190332,-5.084491195208877,-5.272458500181544,-5.306161304714743,-5.295515540484648,-5.32472671529665,-5.434308542141955,-5.490525601566477,-5.477246706353244,-5.48695684330342,-5.671427751167881,-5.727065040287489,-5.707237942266531,-5.71063625721386,-6.0411193022345016,-6.077217725401832,-6.060796906708622,-6.059160628890198,-5.396199317040391
2019-06-10,-5.372996217672837,-5.449294506525573,-5.439030863271065,-5.416467421174397,-5.034594203158707,-5.088275312164239,-5.092532760763615,-5.071174781918191,-5.270662241131892,-5.342310954762446,-5.331217390447906,-5.313562972038244,-5.433080296316749,-5.505952318242923,-5.492601766497016,-5.477770638405177,-5.671604992700223,-5.732324467277101,-5.712660587549686,-5.705188595787098,-6.045853909468819,-6.0901743745302825,-6.0745555882706075,-6.061488514540338,-5.441632765992432
2019-06-11,-5.374039473228051,-5.634181913467766,-5.624245828540491,-5.620421630160504,-5.036860765188478,-5.218444293920103,-5.222167854149551,-5.205952373113858,-5.272042647500013,-5.564786598759399,-5.554071454979644,-5.549241281072781,-5.433584868008859,-5.7560317593561425,-5.742058361726118,-5.74396031643281,-5.670530414504622,-5.973412204313401,-5.949846660628299,-5.969507596445929,-6.040822393660675,-6.269550177969588,-6.247367887117604,-6.278488652250468,-5.623093831298693
2019-06-12,-5.40087864216533,-5.892298098087452,-5.881703980389237,-5.666545056016701,-5.065637166202865,-5.4708741481401395,-5.4753158014109395,-5.2323761433353075,-5.297205252428455,-5.800085419661631,-5.788766517444255,-5.602462510916968,-5.458241594594574,-5.977013525381755,-5.963441909394889,-5.817305528345051,-5.696167889639737,-6.189410566496469,-6.167171165302452,-6.056420732991799,-6.070925245968368,-6.459225559038636,-6.442615699290968,-6.363387121225542,-5.870830098066717
2019-06-13,-5.534092158281899,-5.784533336077971,-5.779948882144261,-5.734745280917819,-5.189829309981851,-5.383052402036194,-5.383702349176859,-5.28707343103688,-5.435616592985856,-5.747230015271553,-5.741500093375667,-5.684350645470945,-5.601082199673893,-5.9430815034150495,-5.9346927903438615,-5.9156183782102865,-5.836378369371999,-6.157785029323759,-6.142083225808038,-6.153599914055403,-6.195632417257108,-6.404112652127904,-6.389319729642304,-6.4153670405411996,-5.775036669924804
2019-06-14,-5.577355795006284,-5.952020480751192,-5.949248640869788,-5.925442580693168,-5.22896954826707,-5.5141034158596955,-5.512538924320317,-5.512744551313145,-5.479483864512257,-5.904802419431839,-5.900900788395114,-5.872175065286705,-5.646837582477991,-6.101420557935927,-6.094293701724846,-6.053275029188617,-5.884911974688201,-6.281546236595898,-6.268056661982674,-6.23542775661265,-6.248181950807785,-6.478608570637849,-6.4681138201752315,-6.457020382111674,-5.941120052769462
2019-06-17,-5.592990863897374,-6.080705315588037,-6.078251789308401,-6.0164130460015794,-5.245352283552932,-5.6696844113169185,-5.66778443337374,-5.6120939372097,-5.494497920362729,-6.026111211277826,-6.022700827546052,-5.981614670221847,-5.661809142318489,-6.1948849767021406,-6.188061130673019,-6.149129017168013,-5.900146097455288,-6.349529981371746,-6.336234423019103,-6.294816781972984,-6.264073841517027,-6.512533379120028,-6.503616546642693,-6.473823486037409,-6.06656896992123
2019-06-18,-5.607505749942221,-6.029772139179031,-6.028468267304333,-6.047192410441347,-5.257088729955722,-5.612614004712656,-5.609870226513665,-5.635377293966893,-5.508184529890189,-5.948768218398162,-5.9463780904414225,-5.97738077551212,-5.677499138947673,-6.137079782472577,-6.130938580938148,-6.155176528178529,-5.919422058472811,-6.354548544606769,-6.341208731883689,-6.356220656549432,-6.291052312151979,-6.612344879241642,-6.601322797896758,-6.600582472039399,-6.019493528343115
