gamma_AS,bucket,coverage_AS,coverage,coverage_improvement,mean_AS,mean_addon,addon_share
0.25,global,0.1649746192893401,0.9720812182741116,0.8071065989847716,0.003597557330877819,0.02607246902105951,0.8787477540773515
0.25,1M,0.012690355329949238,0.9771573604060914,0.9644670050761421,0.003877550391447428,0.04701415805769948,0.92380781642955
0.25,3M,0.10913705583756345,0.9746192893401016,0.8654822335025381,0.003661380787252755,0.03213852143767593,0.8977265143031332
0.25,6M,0.20812182741116753,0.9746192893401016,0.766497461928934,0.0035576257454392147,0.024812892135161156,0.8746013110762949
0.25,1Y,0.4289340101522843,0.9771573604060914,0.5482233502538071,0.0034761765687394883,0.017384089417551457,0.8333589527642007
0.25,2Y,0.6624365482233503,0.9695431472081218,0.30710659898477155,0.003415053161510212,0.009012684057209532,0.7252071634495644
0.5,global,0.6116751269035533,0.9619289340101523,0.35025380710659904,0.007195114661755638,0.020791370244869063,0.7429075253107121
0.5,1M,0.28426395939086296,0.9771573604060914,0.6928934010152283,0.007755100782894856,0.04322509806891889,0.8478801385948922
0.5,3M,0.5482233502538071,0.9746192893401016,0.4263959390862945,0.00732276157450551,0.02787156482703313,0.791933464168324
0.5,6M,0.6522842639593909,0.9746192893401016,0.3223350253807107,0.0071152514908784294,0.020153685662257347,0.739071183755349
0.5,1Y,0.766497461928934,0.9670050761421319,0.20050761421319796,0.006952353137478977,0.012467472121170354,0.6419971320275146
0.5,2Y,0.8934010152284264,0.9060913705583756,0.012690355329949221,0.006830106323020424,0.00023903054496559893,0.033813257459235586
1.0,global,0.8705583756345178,0.9543147208121827,0.08375634517766495,0.014390229323511276,0.011441601361654886,0.4429264615682953
1.0,1M,0.7715736040609137,0.9822335025380711,0.21065989847715738,0.015510201565789711,0.03602482351323692,0.6990357229339745
1.0,3M,0.8604060913705583,0.9746192893401016,0.11421319796954321,0.01464552314901102,0.02008464866778867,0.5783054795454543
1.0,6M,0.8934010152284264,0.9010152284263959,0.0076142131979695105,0.014230502981756859,0.0006420746647805078,0.04317171374034305
1.0,1Y,0.9314720812182741,0.9416243654822335,0.010152284263959421,0.013904706274957953,0.00034971678977899776,0.024533914011546663
1.0,2Y,0.9670050761421319,0.9670050761421319,0.0,0.013660212646040847,0.00010674317268932408,0.007753578502543361
2.0,global,0.9644670050761421,0.9644670050761421,0.0,0.028780458647022552,0.0004968533945389525,0.016970594630294558
2.0,1M,0.9238578680203046,0.9289340101522843,0.005076142131979711,0.031020403131579423,0.0013234971108159385,0.040919527356203654
2.0,3M,0.9517766497461929,0.9543147208121827,0.0025380710659898,0.02929104629802204,0.0006551200732271843,0.02187659231848377
2.0,6M,0.9695431472081218,0.9695431472081218,0.0,0.028461005963513718,0.00038143203596737433,0.013224680797129983
2.0,1Y,0.9796954314720813,0.9822335025380711,0.0025380710659898,0.027809412549915907,0.00012421775268426705,0.004446888976985476
2.0,2Y,0.9898477157360406,0.9898477157360406,0.0,0.027320425292081695,0.0,0.0
