,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
iv_k_-0.30_T_0.08,0.1382413609295512,0.07487292827595954,0.3994853214664556,-0.10414387572331694,0.17448412409822472,0.1547536091857189,0.09625588012604225,-0.0012263772986377019,0.056505731412824105,-0.08979988351267232
iv_k_-0.20_T_0.08,0.14316077621903955,0.06075105103131617,0.3584042362934211,-0.05257564446546221,0.14764809914587762,0.17397055144876652,0.05652683932818608,0.005795977618204288,0.08099221022419312,-0.04472805825149435
iv_k_-0.10_T_0.08,0.1503622260623988,0.03237693012974191,0.2720925262868154,0.047472267382901265,0.09459179515458406,0.1785435775761713,-0.019491077876634552,0.042029384321448114,0.14649724444303378,0.013758098856511027
iv_k_-0.05_T_0.08,0.15413006587777037,0.005654049310124515,0.18695727591259556,0.13699540020115206,0.04751537774346224,0.13307976890261722,-0.08509130812463898,0.09326474877943632,0.24494938329123378,0.03496236673715491
iv_k_0.00_T_0.08,0.1541666908829875,-0.034772480173284825,0.04223529299893433,0.2685439208866439,-0.010749902848284547,-0.08694671851894631,-0.1645916311773244,0.13638977744997924,0.5499185861218497,0.07592676038838302
iv_k_0.05_T_0.08,0.1484337629876724,0.05364992830335191,-0.1287330179742717,0.34514897563981534,-0.08297289588384921,0.25081163376054905,0.0898288863253549,0.5609670795333536,-0.12365826119007002,-0.1623401532132492
iv_k_0.10_T_0.08,0.1403261675403517,0.20420454805901544,-0.1301222961424004,0.20921203814088185,-0.16889575529692244,0.4981018324738321,-0.33063217214462504,-0.26842699703529244,-0.20130546747148637,0.26373626793472943
iv_k_0.20_T_0.08,0.11628284605609014,0.3733466594080351,0.043432165494228,-0.1290135147384404,-0.0485744451538609,-0.06938723493770672,-0.29933298003059117,0.13078812746847182,-0.11169785801765893,0.2009916295943603
iv_k_0.30_T_0.08,0.09855855285918386,0.40920096623175223,0.11950953111331339,-0.25494346192820655,0.03577623511715128,-0.30750871655653084,-0.09451222861034722,0.3736203256018411,-0.1740372540222442,-0.13891038814328568
iv_k_-0.30_T_0.25,0.15013261903065703,0.03867430252001533,0.27566790308906797,-0.06908547922781734,-0.01787918600164616,0.05752824617792745,0.15632502521998384,-0.058703705092747985,-0.10919756441076563,0.04709143029900159
iv_k_-0.20_T_0.25,0.1534126919046756,0.016773353916938634,0.22928612580304686,-0.013759407276572594,-0.017805896325646536,0.0565586340374758,0.10074995369404513,-0.056492042263382586,-0.08186511479637817,0.032338002995539614
iv_k_-0.10_T_0.25,0.15635779173736003,-0.01616706037826979,0.1541813890681723,0.06931677071461874,-0.01429652712444769,0.019914246229098334,0.009119663629174662,-0.04123901862457786,-0.017153317533395055,-0.011942011172371921
iv_k_-0.05_T_0.25,0.15690272883524767,-0.03778709225122216,0.0992450793335317,0.12481433934648187,-0.0075398444967674704,-0.0394319212560529,-0.05757338488952907,-0.030150794134206783,0.054386777472058674,-0.051462951308746875
iv_k_0.00_T_0.25,0.15593254440234902,-0.05880811134005274,0.028644726616733576,0.1876498318964863,0.011348487098282047,-0.15873736113699063,-0.12675356919328257,-0.03247035521196466,0.17503774289315302,-0.06007189095902767
iv_k_0.05_T_0.25,0.15433675354611,-0.043889479997805195,-0.06308764713362525,0.24215736800491833,0.06183488185875862,-0.2236483309035864,-0.006489896763547408,0.1107003327748983,0.08852164678156758,0.29648770782478706
iv_k_0.10_T_0.25,0.15179937801940216,0.05979022134751981,-0.14964621578143153,0.2500664950619596,0.020380375132172,0.0981021388178489,0.21741540765940118,0.27005187357799865,-0.24434599714160432,-0.11353724511875246
iv_k_0.20_T_0.25,0.13392496153109665,0.28142808745242637,-0.15052128293503927,0.057225458219357636,-0.11949504328305681,0.16126351849675555,-0.1122757747489743,-0.2724226540334937,0.022759375101776582,-0.0018387645905113858
iv_k_0.30_T_0.25,0.10986001184618137,0.392834015617062,-0.06522485095218661,-0.14484927867176964,-0.11705633712099546,-0.22082601808339022,-0.12360492981109984,0.05766873271380774,0.08383550783041745,0.040652703142348076
iv_k_-0.30_T_0.50,0.15566721926152116,-0.0015814169756791106,0.16805404355477754,-0.05698906029897735,-0.14961025180146728,-0.026149650761932174,0.18867315454359804,-0.0784014595360929,-0.1358567433753434,0.11546810354411019
iv_k_-0.20_T_0.50,0.15706958834096518,-0.024689051716184778,0.13102426849723087,-0.011079008265578213,-0.11422397927831772,-0.031133339320425012,0.11583407470957698,-0.08569268267179511,-0.11935892459289818,0.04786008220805333
iv_k_-0.10_T_0.50,0.1576510912056361,-0.052869336393792,0.08020132805035078,0.04705176898597983,-0.06244445527881403,-0.06466013118839405,0.011965312384992984,-0.09029846203475775,-0.08371851046615042,-0.05092509143505861
iv_k_-0.05_T_0.50,0.1573600421755187,-0.06750449876550027,0.047998729305216974,0.08024001986486652,-0.026687979871279015,-0.10407305093924936,-0.052401043343470365,-0.09420061189400449,-0.051670036636284014,-0.10588279939270101
iv_k_0.00_T_0.50,0.15661423185565926,-0.07870660738473141,0.01007346068500791,0.1141217305135091,0.019760478214145408,-0.16569498121779913,-0.11265105734770242,-0.1019367025511191,-0.011097141549286302,-0.12859504317338866
iv_k_0.05_T_0.50,0.15588366148715127,-0.07516525876834851,-0.03688078021240208,0.14425312435966905,0.08264438221701834,-0.22846956359239917,-0.10637195591218726,-0.08394077202426287,-0.01065112359253704,0.014430400941580181
iv_k_0.10_T_0.50,0.15584304043644853,-0.031660748426699956,-0.09874567795646666,0.1624629754272774,0.1409681000384886,-0.18419280241450303,0.08597630844911786,0.05254283553893994,-0.14779956394372823,0.2903863604485869
iv_k_0.20_T_0.50,0.14688729475520568,0.16292234928420138,-0.19526598983926688,0.10843912936317787,0.04314516907788343,0.10874123247631601,0.26814056981572193,-0.10346076106217929,-0.03847711504420427,-0.297172401217867
iv_k_0.30_T_0.50,0.12439924954964901,0.3260288412428408,-0.1812896889286618,-0.05107262268335846,-0.0863674908386647,-0.06578465133621786,0.06635488195026533,-0.21679900261128857,0.28150888827448844,-0.17766063041340985
iv_k_-0.30_T_1.00,0.15690510639531552,-0.05710250381582515,0.04071986691140092,-0.0817190100477473,-0.27271722405165744,-0.07873632933441675,0.195447168527769,-0.04915580309927403,-0.06559121975454231,0.16101685514989836
iv_k_-0.20_T_1.00,0.15707531698921548,-0.07602289153057828,0.023676208839988246,-0.05388550392964275,-0.19542106525877054,-0.07057674795788348,0.10622756244576198,-0.06623776676709525,-0.07969416823694729,0.04734106712438227
iv_k_-0.10_T_1.00,0.15677954616952036,-0.09444928737301869,0.0026058766324077117,-0.02397734079116851,-0.09992425796468013,-0.07659507482143298,-0.001923079378194218,-0.08307513959557418,-0.0934828733897021,-0.080163770866808
iv_k_-0.05_T_1.00,0.15647752045130245,-0.10179390426442905,-0.010055672495552838,-0.009191750253897752,-0.043834050272654766,-0.08833239387782674,-0.05971660904473939,-0.09174555051508505,-0.09989868387666548,-0.13741802999026786
iv_k_0.00_T_1.00,0.15616751827599062,-0.10571453730873265,-0.024970303478630454,0.004456331272610061,0.01883400505350107,-0.10701336973856615,-0.11158251368264406,-0.10020837100659316,-0.10712029131416083,-0.1691968510610578
iv_k_0.05_T_1.00,0.1560331471377159,-0.10264459847887025,-0.04378088749762063,0.015694573338003535,0.08875472161448839,-0.12978466823611645,-0.13868375008582143,-0.10444635554743051,-0.11964048550093521,-0.13588750043782255
iv_k_0.10_T_1.00,0.15629802740563242,-0.08612330339333037,-0.0698229078252318,0.02278593917092184,0.16399474527774485,-0.14452850476743873,-0.10325525285926858,-0.09117427470081271,-0.14524165463226965,0.0158651487580615
iv_k_0.20_T_1.00,0.15581207755895593,0.017551994603224014,-0.1509752778443122,0.01500179144495709,0.2573950351465582,-0.07136068367630036,0.21973965215028118,-0.02760534366551292,-0.13219051658984707,0.258386125637608
iv_k_0.30_T_1.00,0.1432901654997361,0.18811549418842835,-0.2213547019250169,-0.04335978282994862,0.1629092136957593,-0.001988318888399547,0.3930719904914862,-0.17086584979424804,0.24774949765210463,-0.20616553053856096
iv_k_-0.30_T_2.00,0.14957364535063675,-0.12853145009330882,-0.11169922047394643,-0.19174763140588313,-0.38658424034586336,0.01130198424524308,0.15941346194733985,0.1376596805155002,0.18861653599991682,0.21771330620936274
iv_k_-0.20_T_2.00,0.15001054258178573,-0.13907693106175556,-0.10514937809859343,-0.1863487172119618,-0.2727300250134036,0.04725552865217923,0.06349604901235699,0.11589032585638243,0.1337396011703143,0.08154443424625445
iv_k_-0.10_T_2.00,0.15025691205799818,-0.14616445149503576,-0.09923794371773573,-0.182920602597459,-0.14510292267883917,0.07900369201127673,-0.03886616782700988,0.0952490609621934,0.0738006523401557,-0.049882323816749105
iv_k_-0.05_T_2.00,0.15035364951646102,-0.14731129983787866,-0.09710547607421409,-0.18252160355833574,-0.0760646645654899,0.09223354384620278,-0.08903142948595029,0.08552920382006696,0.04295299428949837,-0.1047890847838431
iv_k_0.00_T_2.00,0.15048121558195685,-0.14589106169158508,-0.09611375274893276,-0.18343552295309992,-0.0036471823071132013,0.10314272260390855,-0.13451683606745535,0.07626180738815254,0.01277542084907461,-0.14328572571931214
iv_k_0.05_T_2.00,0.150691569453004,-0.1407767965974662,-0.09701563360796553,-0.18607835995819796,0.07187699610913652,0.11147625446030361,-0.16982519944346244,0.06748358910706481,-0.014851561344775253,-0.15423077106672295
iv_k_0.10_T_2.00,0.15103373669474407,-0.13036170231853286,-0.10093224802284882,-0.19091522305140796,0.1498071187723692,0.11729799182004744,-0.18646820364482738,0.05926973323544577,-0.03651798174916026,-0.12322143219408523
iv_k_0.20_T_2.00,0.15194685621095966,-0.08433025754015604,-0.12405172999084434,-0.20877949386874894,0.30328787939574914,0.12384799783907792,-0.11692952401508919,0.043655145060611154,-0.03232246025613159,0.10044302957708477
iv_k_0.30_T_2.00,0.15050789835037368,0.011172001663633975,-0.17406549654018308,-0.23748657721150793,0.4062254332417621,0.12401383283405366,0.12492905476330789,0.010849959525774378,0.12795892342606713,0.34273849849409344
