,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
iv_k_-0.30_T_0.08,0.13824136092955103,0.07487292827595919,0.39948532146645327,-0.10414387572331621,0.17448412409821398,0.1547536091857005,0.09625588012602385,-0.0012263772986399048,0.05650573141281373,-0.08979988351246175
iv_k_-0.20_T_0.08,0.14316077621904044,0.06075105103131648,0.35840423629342405,-0.0525756444654637,0.14764809914590107,0.17397055144879764,0.05652683932816927,0.0057959776182192205,0.08099221022405964,-0.04472805825162952
iv_k_-0.10_T_0.08,0.15036222606239885,0.03237693012974156,0.272092526286815,0.047472267382902104,0.09459179515458789,0.1785435775761522,-0.019491077876608087,0.04202938432138223,0.1464972444430865,0.01375809885637391
iv_k_-0.05_T_0.08,0.1541300658777704,0.005654049310124507,0.1869572759125953,0.1369954002011525,0.04751537774346556,0.1330797689026163,-0.08509130812463503,0.09326474877949295,0.2449493832912741,0.034962366737105434
iv_k_0.00_T_0.08,0.1541666908829875,-0.034772480173284735,0.042235292998933464,0.2685439208866421,-0.010749902848294378,-0.08694671851893962,-0.16459163117732303,0.13638977745005337,0.5499185861217436,0.07592676038833755
iv_k_0.05_T_0.08,0.14843376298767244,0.0536499283033518,-0.12873301797427145,0.3451489756398167,-0.08297289588384231,0.2508116337605445,0.08982888632535231,0.560967079533343,-0.12365826119005886,-0.16234015321321568
iv_k_0.10_T_0.08,0.14032616754035176,0.20420454805901533,-0.13012229614239956,0.2092120381408826,-0.16889575529690984,0.49810183247383477,-0.3306321721446297,-0.268426997035306,-0.20130546747150022,0.263736267934694
iv_k_0.20_T_0.08,0.1162828460560902,0.37334665940803485,0.043432165494228105,-0.12901351473843997,-0.04857444515386413,-0.06938723493770192,-0.29933298003059666,0.1307881274684656,-0.11169785801756542,0.2009916295942958
iv_k_0.30_T_0.08,0.09855855285918393,0.4092009662317519,0.11950953111331389,-0.25494346192820616,0.03577623511714347,-0.30750871655653245,-0.09451222861033488,0.3736203256018585,-0.17403725402228742,-0.13891038814328396
iv_k_-0.30_T_0.25,0.1501326190306571,0.038674302520014914,0.27566790308906847,-0.06908547922781702,-0.017879186001645068,0.05752824617792388,0.15632502521999095,-0.05870370509269622,-0.1091975644105908,0.04709143029916195
iv_k_-0.20_T_0.25,0.15341269190467563,0.016773353916938433,0.22928612580304616,-0.013759407276572273,-0.017805896325646994,0.05655863403746939,0.10074995369404753,-0.05649204226344741,-0.08186511479646505,0.03233800299557363
iv_k_-0.10_T_0.25,0.1563577917373601,-0.01616706037826991,0.1541813890681722,0.06931677071461931,-0.014296527124446276,0.019914246229096207,0.009119663629186396,-0.04123901862454122,-0.017153317533364767,-0.01194201117238421
iv_k_-0.05_T_0.25,0.15690272883524775,-0.03778709225122201,0.0992450793335323,0.1248143393464814,-0.0075398444967666334,-0.039431921256049815,-0.05757338488953874,-0.030150794134169007,0.05438677747211555,-0.051462951308931915
iv_k_0.00_T_0.25,0.15593254440234908,-0.058808111340052795,0.028644726616733066,0.18764983189648524,0.011348487098281542,-0.1587373611369925,-0.12675356919328518,-0.03247035521208898,0.175037742893171,-0.060071890958819
iv_k_0.05_T_0.25,0.15433675354611004,-0.043889479997805105,-0.06308764713362519,0.2421573680049167,0.06183488185875223,-0.22364833090358957,-0.006489896763550447,0.11070033277484545,0.08852164678163316,0.2964877078248558
iv_k_0.10_T_0.25,0.15179937801940216,0.059790221347519934,-0.14964621578143153,0.2500664950619596,0.020380375132176116,0.09810213881785314,0.21741540765940987,0.2700518735779505,-0.24434599714165905,-0.1135372451186486
iv_k_0.20_T_0.25,0.1339249615310966,0.2814280874524265,-0.15052128293503955,0.057225458219356484,-0.11949504328305226,0.16126351849676263,-0.11227577474897452,-0.27242265403344434,0.02275937510180838,-0.0018387645903631049
iv_k_0.30_T_0.25,0.10986001184618141,0.3928340156170619,-0.06522485095218662,-0.14484927867177033,-0.1170563371210002,-0.22082601808338875,-0.12360492981110056,0.057668732713787134,0.0838355078303759,0.040652703142311834
iv_k_-0.30_T_0.50,0.1556672192615212,-0.001581416975679579,0.16805404355477718,-0.05698906029897675,-0.14961025180147033,-0.02614965076192646,0.18867315454359587,-0.07840145953606716,-0.1358567433754726,0.11546810354401629
iv_k_-0.20_T_0.50,0.15706958834096518,-0.024689051716184972,0.13102426849723026,-0.011079008265577289,-0.11422397927832202,-0.031133339320422858,0.11583407470958298,-0.08569268267180231,-0.1193589245928203,0.04786008220824254
